geo_id	name	present_locally
1	Luna Base	True
17	Caloris Space Port	True
18	Asteroid	True
33	Losangelorg Sprawls	True
34	Historical Museum, Levels 2-1	True
35	Asteroid Base	True
38	Losangelorg Sprawls	True
49	Lowlander Village	True
50	Venus Laboratory, Level 1	True
51	Venus Laboratory, Level 2	True
52	Lowlander Mines	True
64	Luna Base	True
65	Tsai Weaponry Labs	True
66	RAM Battler, Deimos Level 19-41	True
80	Mars Prison, Level 1	True
81	PURGE Headquarters, Floors Ground-Upper	True
82	NEO Installation	True
84	Mars Prison, Level 2	True
96	Living Ship	True
97	Living Ship	True
112	Stormrider University	True
113	Genetics Foundation Building, Levels 1-4	True
114	Jupiter Finale	True
115	Jupiter Aircar	True
